"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"gene5586",1.11223264747484e-115,2.55606574728168,0.988,0.141,2.19304805935646e-109,"10","gene5586"
"gene135691",1.44014884813731e-115,1.96605329955461,0.926,0.113,2.83961781176128e-109,"10","gene13569"
"gene101041",1.56457851420514e-115,1.64935557393189,0.852,0.088,3.08496237911953e-109,"10","gene10104"
"PSMG4.1",1.67169040869799e-115,2.63477346401874,0.951,0.126,3.29616057842149e-109,"10","PSMG4.1"
"gene111661",2.21298100122832e-115,2.07787510483548,0.926,0.118,4.36345192811495e-109,"10","gene11166"
"NUDT3",2.80177119876079e-115,1.5615381190138,0.84,0.083,5.52440076647018e-109,"10","NUDT3"
"FIG4",3.3941957613418e-115,1.75219430880936,0.864,0.093,6.69251567501298e-109,"10","FIG4"
"gene14043",6.47671468786525e-115,1.79105512491827,0.864,0.093,1.27704816159424e-108,"10","gene14043"
"ARFRP11",7.53617352672365e-115,1.58452287774835,0.901,0.1,1.48594727598379e-108,"10","ARFRP1"
"gene29321",7.64907581793599e-115,1.81218579637611,0.84,0.088,1.50820881912427e-108,"10","gene2932"
"gene52262",8.89962734701148e-115,2.04845041366363,0.963,0.129,1.75478669203519e-108,"10","gene5226"
"cid.12",1.03716326079763e-114,2.43762920527478,0.914,0.109,2.04502977096751e-108,"10","cid.1"
"gene21182",1.05523214842799e-114,1.92466082995334,0.938,0.119,2.08065715435933e-108,"10","gene2118"
"gene63761",1.18016579743008e-114,2.03604983308825,0.938,0.116,2.32699545158015e-108,"10","gene6376"
"gene85071",1.3694817591159e-114,2.77631392977144,0.975,0.138,2.70027976698205e-108,"10","gene8507"
"gene109872",1.37748909915059e-114,2.39984386304044,0.963,0.133,2.71606826371748e-108,"10","gene10987"
"gene40421",1.82371662274551e-114,1.72818745936267,0.889,0.101,3.59591872204832e-108,"10","gene4042"
"TUBA1C1",1.82792371306883e-114,2.3346295625207,0.852,0.091,3.6042140650146e-108,"10","TUBA1C"
"gene50812",1.86225983973792e-114,1.86328175482802,0.914,0.109,3.67191642578276e-108,"10","gene5081"
"RABGGTB",2.31930889486141e-114,1.71935045327994,0.889,0.102,4.57310427136966e-108,"10","RABGGTB"
"gene26791",2.32467593604417e-114,1.8837044725814,0.864,0.093,4.58368675092289e-108,"10","gene2679"
"TMEM222",2.46881133084011e-114,1.53572166500953,0.827,0.082,4.86788614801798e-108,"10","TMEM222"
"gene48442",2.71094834270536e-114,2.76965299316281,0.988,0.143,5.34532052757433e-108,"10","gene4844"
"gene96983",2.95186669372191e-114,1.8586894835968,0.901,0.104,5.82035200894626e-108,"10","gene9698"
"gene10582",3.11804928666181e-114,1.86892436351332,0.938,0.117,6.14802303512327e-108,"10","gene1058"
"METTL181",3.36724142891705e-114,2.53544490531869,0.963,0.133,6.63936838919149e-108,"10","METTL18"
"gene1967",4.87051832286779e-114,1.46632798236724,0.864,0.091,9.60345911466954e-108,"10","gene1967"
"gene102612",4.88017883415052e-114,3.08886528851076,0.988,0.148,9.62250725677279e-108,"10","gene10261"
"gene140341",8.19890057076534e-114,2.95429626698787,0.963,0.135,1.61662067971083e-107,"10","gene14034"
"IAP1",8.31230212322683e-114,1.69517713128228,0.864,0.095,1.63898066483789e-107,"10","IAP1"
"gene5518",1.82216474346631e-113,1.91098626706411,0.914,0.108,3.59285879942392e-107,"10","gene5518"
"gene83791",1.89186161710419e-113,2.26779371149887,0.988,0.137,3.73028381911004e-107,"10","gene8379"
